title,abstract,id,grant_category,grant_offer,start_date,end_date,funder_name,lead_org,tech_abstract,potential_impact,status,social_science_themes
From monstrous mushrooms to mycological futures,"Contemporary genre narratives across film, TV, literature and video games are increasingly exploring the role of
fungi as part of speculative worldbuilding. Once feared for their alien, monstrous alterity and taxonomic uncertainty,
a renewed cultural fascination with fungi and mycelium is prompting contemporary science fiction (SF) and horror
texts to reconsider fungi through the lens of nonhuman possibility. Incorporating genre studies, critical
posthumanism and formal close analysis, this thesis will explore how the fungal is used to explore the inescapable
entanglement of human and nonhuman worlds and rethink ideas of human agency and subjectivity. In examining
how fungi are being deployed conceptually and formally in recent genre texts from across mediums, this thesis will
examine how fungi can help to imagine radical and hopeful forms of contemporary being and future survival at a
time of planetary and interspecies crisis.",4DF8845D-FF31-4BD6-8C9F-830AAF3B2308,Studentship,,,,AHRC,,,,Active,ethnography/cultural
Porous Bodies: Ecology and the Dynamics of Mattering in Contemporary Art.,"This project examines how the use of biological materials in contemporary art produces a porous understanding of the body, personhood, and interspecies relations. As such, it will analyse and contextualise one of the most significant tendencies of art produced over the past decade. My analysis centres on artists whose practices incorporate active chemical and organic substances - ranging from endocrine disrupters to bacteria, fungi, and moulds - situating their work in relation to the ecological crisis. Subject to unpredictable biological processes, these artworks fundamentally challenge interpretive frameworks based on individual intention, agency, or causality; presenting a compelling parallel with the unstable boundaries of the body itself. Offering an innovative reading of the relationship between matter and meaning in these artists' work, I argue they stage a 'porous' account of the body that subverts anthropocentric hierarchies. 
I study a group of artists, which includes Anicka Yi, Jenna Sutela, Candice Lin, and Mary Maggic, whose work is rooted in an ecological sensibility and an expanded conception of subjectivity. Notably, the human body is rarely represented in these artists' work. Rather, it is invoked through somatic processes that draw attention to the permeability and malleability of bodily frontiers. This persistent refusal to image the human form subverts the taxonomic impulses of figuration, demonstrating that the bodily is not synonymous with the anthropocentric. Further, in emphasising the sensorial over the spectatorial, these artworks encourage a visceral response that de-stabilises mind / body dualisms. Situating this changing status of figuration in relation to the ecological crisis, this project examines how the body is experienced at this point of epistemic rupture. 
This project contributes to an urgent research agenda focused on the role of the visual arts in confronting the ecological crisis. Extant literature in this field has largely overlooked how the materiality of the work of art shapes its affective potential. I address this oversight, by asking how materials and material praxes are implicated in the process of mattering. My use of the term 'matter' in this instance alludes to its verbal usage, denoting something of consequential importance. How the human body 'matters' therefore has a direct impact on interspecies relations. At its core, my research seeks to better understand how representations of the body intervene in this dynamic. To this end, I advocate a 'diffractive' approach that, in reading matter and meaning through one another, questions interpretive frameworks based on individual agency and positions knowledge as an ongoing process of world-making. I argue for artistic practice as an immanent mode of analysis, which is not simply illustrative, but potentially productive of ecological consciousness.",BA4131E2-005F-47F8-BB22-D4B1B294B96E,Studentship,,,,AHRC,,,,Active,arts/humanities
Medical Research Council Centre for Medical Mycology,"Fungi have a major impact on global health. These organisms infect billions of people annually, and global mortality figures for fungal diseases rival or exceed those for tuberculosis and malaria. Despite the high rates of death and the loss of health they cause, the enormous impact of fungi on human health is not widely appreciated, and fungal infections remain understudied compared with other diseases. Moreover, we are discovering new fungal species that cause life threatening infections, and learning that fungi can aggravate other serious infections, such as influenza or COVID19. There is a pressing need for more research in this field. 

There are three priorities that require urgent attention if we are to successfully combat fungal infections. (i) We need to improve our ability to detect fungal infections in patients. (ii) We need to use our existing drugs more wisely and to generate improved antifungal drugs (especially to overcome a worrying increase in drug resistance). (iii) We need to enhance the understanding of how fungi cause disease and how our immune system combats these infections, to enable us to exploit this knowledge for novel therapies. Importantly, there is a world-wide shortage of scientists and doctors who are working in this field, and this is the main factor hindering our ability to tackle these challenges.

The Medical Research Council Centre for Medical Mycology (MRC CMM) is meeting this global challenge by pioneering interdisciplinary research, establishing international units in low and middle income regions of the world that suffer high burdens of fungal infections, and increasing capacity by training the next generation of scientists and doctors. We are also raising awareness and influencing policy regarding the management of fungal diseases within the scientific and medical communities, and the general public. 

Since its launch in Aberdeen in 2016, and relocation to Exeter in 2019, the MRC CMM has grown considerably. We have established a satellite site in Africa (the AFGrica Unit in Cape Town) and will establish similar Units in South America (Brazil) and in Asia (tbc). The objectives of these Units are to promote research and training in fungal diseases relevant to those geographic regions. Through our MRC Centre and its satellite Units, we will promote awareness of fungal disease and of our activities through an ambitious programme of engagement that targets key audiences.

During the next quinquennium we will recruit two outstanding scientists who will enhance and expand the Centre's broad and complementary expertise in key areas. Our research will be focussed into five exciting and interdisciplinary themes that address major challenges facing this field. A key objective of the MRC CMM is to increase capacity in medical mycology in the UK and globally by delivering an outstanding cohort of researchers through our world leading training programmes. This will include a bespoke MRes-PhD programme that will provide 15 students with a broad interdisciplinary training that is not available anywhere else; 2 Early Career Fellowships to fast-track an independent research career in medical mycology for exceptional individuals; 3 PhD Fellowships for excellent clinicians wishing to pursue a clinical academic career in medical mycology; 10 summer scholarships for medical students, to stimulate their interest in academia and in medical mycology; and to promote training in medical mycology in low and middle income countries through our International Units via locally funded Studentships and Fellowships, bilateral exchanges, workshops and training courses. These Fellows, PhD students and clinical trainees will foster integration across the Centre and beyond, and help enable our innovative interdisciplinary research programmes. Importantly, the increased capacity offered by these individuals will greatly facilitate our ability to tackle these devastating diseases in the future.",B72A1068-E0A3-4540-AFB0-F1BD80282960,Research Grant,,,,MRC,,"Creation of the MRC CMM empowered expansion of critical mass that enabled interdisciplinary research in areas of scientific, translational and clinical importance. This has led to numerous discoveries, attracted significant additional funding, facilitated strategic interactions with other national and international groups, and enabled greater public engagement and understanding of our science. We also established the first International satellite centre in the field, the AFGrica Unit.
In the next quinquennium, a key objective is to further increase UK and global capacity in medical mycology through the recruitment of excellent Early Career Fellows, PhD students, and clinical trainees. Moreover, we will establish satellite Units in South America and Asia, to facilitate research and training in regions of the world that suffer high burdens of fungal disease. With the recruitment of two scientists in key areas, our research will be focused into the following interdisciplinary themes that will underpin the Centre's scientific and training strategy:
a. Fungal growth, adaptation and morphogenesis in the context of human infections, and implications for immunity, disease phenotypes and therapy.
b. Fungal components as antifungal drug targets, diagnostics, vaccine antigens and adjuvants.
c. Evolution and impact of antifungal drug resistance, and mitigation strategies.
d. Host-fungus interactions and key mediators of disease establishment and progression at molecular, cellular and organismal levels.
e. Determinants of patient susceptibility, including immunity and comorbidities, to enable directed diagnosis, treatment and prevention of fungal disease.

With continued MRC support over the next quinquennium, the MRC CMM will become the largest Centre of Excellence for research and training in Medical Mycology in the world. Our ambitious programme of training, research, engagement and international outreach is focused on tackling the major challenges facing the field.",,Active,policy/governance
&quot;Fungal One Health and Antimicrobial Resistance Network&quot;,"Fungal infections are a growing problem, now killing more people than tuberculosis or malaria globally. Unfortunately fungi are also becoming resistant to the main anti fungal drugs we use to treat them. We have show that this is due to mass use of antifungals in agriculture. These are needed because fungi are the main pathogens that destroy crops. Furthermore global warming is increasing the threat of fungi across plant, animal and human health.

To combat this, new types of antifungal therapies are coming into medical use, however we are already seeing equivalent antifungals being used in agriculture, known as &quot;dual-use&quot;. We urgently need a holistic framework to ensure that we don't lose the efficacy of anti fungal drugs, both as medicines and as fungicides, whilst ensuring that we can continue to ensure that our food supplies are protected.

In order to address the issue of antifungal resistance we have developed a Fungal One Health and Antimicrobial Resistance Network. One health refers to approaches that seek to balance and optimise the health of people, animals and ecosystems.

The key challenges we face our to be able to understand the specific reasons why emergence of anti fungal resistance occurs within a one health context, to develop early warning systems that allow us to know when resistance in occurring or spreading, to identify the key hot-spots in the environment where anti fungal resistance is occurring, and have better understanding of where antifungals are being used most across one health.

This will allow us to identify appropriate countermeasures that allow us to deliver judicious stewardship of antifungals so they can be used appropriately to enable food security and animal and human health, whilst ensuring that the risk of anti fungal resistance is minimised. In order to address these challenges and deliver appropriate countermeasures we have brought together a diverse range of scientists from across the relevant disciplines, as well as key stakeholders from relevant government departments, healthcare, agrochemical and pharmaceutical industries and end users such as farmers and patients. They will contribute to 4 working groups that focus on

1: the underlying causes of dual use anti fungal resistance,

2: surveillance of anti fungal resistance,

3: understanding the role of agricultural waste streams and water as hotspots for antifungal resistance, and

4: developing countermeasures such as anti fungal stewardship and other interventions to mitigate the risk of antifungal resistance.

Our key aims will be to advance our knowledge of the underlying drivers of dual use antifungal resistance, how this occurs within the ecosystem, to develop surveillance systems and antifungal stewardship toolkits. We will develop policy documents and white papers, undertake outreach with end users, the public, governmental bodies and NGOs. The Network will train the next generation of multidisciplinary researchers in this area and develop pragmatic research proposals to enable us to fight the spread of anti-fungal resistance.",26501C74-A752-4C61-9D92-A46C0F555535,Research and Innovation,,,,BBSRC,,,,Active,policy/governance
Fragrance in the Fungarium: Capturing Heritage Scents of Mushrooms and Mycological Art,"Smell is one of our most important and powerful senses, affecting our emotions and helping us form new memories. Interest in capturing and synthesising scents to create multi-sensory experiences in museums and galleries is growing. In the natural world scent is also a key tool in the identification of plants and fungi, and it is generally acknowledged that the ability to distinguish between smells increases as individuals become more experienced with the process.

This project aims to investigate the role scents and smelling have in our experiences of international cultural heritage collections. Through the creation of artistic and inclusive interpretations of fungus biodiversity, the project will reveal a new olfactory dynamic to our engagement with both tangible and intangible cultural heritage. 

Using an experimental practice-based approach, the project will explore how odours of living collections and archival material at the Royal Botanic Gardens Edinburgh (RBGE) and Regional Gardens, alongside characterisations of scent in the art of mushrooms, can be captured, contextualised and communicated to engage diverse audiences with heritage smells. The project will use James Sowerby's (1797-1809) 'Coloured figures of English fungi or mushrooms' as a case study. In collaboration with University College London's Institute of Sustainable Heritage, the project will also analyse and interpret the odour of a first-edition copy of Hadrianus Junius (1564) 'The Description of the Phallus', a sixteen-page pamphlet held in the KB National Library of The Netherlands, The Hague, that describes in prose, poetry and woodcut illustration the dune stinkhorn Phallus hadriani, and is believed to be the earliest printed work dedicated to a single species of mushroom.

The project will be approached through a range of creative and interdisciplinary heritage practices, including the documentation and critical analysis of historical and contemporary artworks depicting mushrooms; video and photography of living and dried fungus specimens in the RBGE Herbarium; and exhibition curation informed by creative responses to other related items held in other UK archives. 

A series of outputs will be delivered, including: an artist's essay film combining documentary footage, studio animation, voice and new music composition; a contribution to a fungus-themed contemporary art exhibition at Inverleith House, RBGE (autumn 2024); a creative events and community engagement programme aimed at the wider public and staged across all four Regional Gardens; an in-house publication featuring new writing, photography, and reproductions of mycological art from the RBGE and affiliated collections; plus publications in peer-reviewed journals aimed at the arts and heritage sector. 

Through the case study of stinkhorns, and by working in partnership with the RBGE, Regional Gardens and global partners, an innovative method will be developed for the promotion of heritage scents as a valuable resource for diversifying audience engagement with gardens and fungi. This practice-based approach can be repeated at other GLAM institutions worldwide and is thereby potentially of national and international significance.",368B48DD-5BC5-4AE1-A19B-C805C5BF98F6,Fellowship,,,,AHRC,,,,Active,arts/humanities; ethnography/cultural
"Impact of food processing on the functional, structural and sensorial characteristics of alternative proteins sources","The demand for proteins has increased due to several reasons, among them a growing population, socio-economic changes (increase in income) and increased awareness of the contribution of proteins in healthy diet and aging. Sources for new proteins that are of interest for this project are UK-grown protein crops (cereals and legumes), quality protein from secondary streams (agro-industrial by-products), and products obtained from microorganisms (bacteria, fungi or microalgae).

The aim of this project is to evaluate the potential of alternative protein sources for food product reformulation by assessing the impact of processing operations in the product properties (physical and nutritional properties) and consumer perception of its texture, taste and flavour.",FCB9DAB8-287B-4746-B397-366D0539A033,Studentship,,,,BBSRC,,,,Active,social science/sociology
AirEx Roomvent certification,"AirEx has developed a demand-responsive ventilation system designed for retrofitting into existing dwellings. This is a practical solution for retrofit contractors who need to provide additional ventilation required by PAS 2035 as part of their retrofit projects and for social landlords addressing health risks to their residents from issues arising from damp and mould.

Unlike other ventilation solutions on the market, our system has the advantage of providing automated ventilation only when necessary. This means that when the air quality in a home is already good, ventilation can be minimised, reducing cold airflow into the home and lowering energy consumption for households.

Barriers to retrofit projects include resident acceptance and the need for project compliance with PAS2035 and other regulations. Consequently compliance of products installed in projects is crucial to avoid exposing clients to regulatory risk.

This project aims to secure the necessary certifications for the components and/or the whole system, enabling confident deployment by customers to comply with the PAS2035 standards and government regulations for healthy homes.",A3E816A4-43CD-4EF1-BE77-B9814016E7F4,Collaborative R&D,46342.0,,,Innovate UK,AIREX TECHNOLOGIES LTD,,,Active,housing/damp/mould
Contesting dispossession by damp: Life experiences and media representations in London Housing Association estates,"Household damp and mould are problems of growing prominence in
Britain, often with severe and life limiting implications for those who
endure them. Treating those whose health has been impacted by poor
housing conditions is estimated to cost the NHS &pound;1.4 billion annually
(Garret et al, 2021). In November 2022 it became public knowledge
that Awaab Ishak, a two-year-old living in social housing provided by
housing association Rochdale Boroughwide Housing, had died in 2020
due to the poor conditions he lived in. Against a present backdrop of
rising energy prices and levels of fuel poverty, the issue of household dampness is
unlikely to be resolved.

This research proposes a dual examination of the phenomena of
dampness in Housing Association (HA) estates in London - that is,
both into the material conditions in damp housing, and the media
representation of those conditions - in order to critically question how
damp housing conditions dispossess the urban poor. Using a mixed
methods approach with an embodied focus, this research aims to
provide new insights into household damp in Housing Association
stock undergoing regeneration, and a critical assessment of the
relationship media coverage has to tenants' experiences of
(contesting) these conditions. It envisions a public life for its findings
and outputs, both developing tools for use 'on the ground' within
affected communities through participatory methods, and producing
policy recommendations and briefings.",C59DC641-1775-4715-8C11-C5F3228791FD,Studentship,,,,ESRC,,,,Active,housing/damp/mould
Transforming landscapes: the role of large herbivores in Holocene ecosystem dynamics,"Large herbivores play a significant role in Earth System function and work to date has identified the wide-ranging impacts that the late Quaternary extinction of megaherbivores may have had on ecosystem function (Mahli et al. 2016). By contrast, in long-settled regions like NW Europe, large herbivores - wild and domesticated - are often implicated in Holocene landscape transformation (Fyfe et al. 2015), but we lack a comparable understanding of their functional role and how this has altered over the long timescales involved in vegetation development or climate change.
This gap matters for ecology and conservation (e.g. setting baselines for a 'wilder' landscape), as well as archaeology and history (e.g. how transitions between wild and domesticated grazing regimes affected biodiversity). These issues are particularly relevant to the Scottish Highlands, the focus for this project, because this is a landscape in flux: animals have been an influential component since prehistory, were instrumental to socio-economic and ecological transitions in the historic past (Hanley et al. 2008) and remain a source of tension in contemporary management. The extent to which climate has constrained or facilitated tree growth alongside dynamic grazing regimes also remains unclear but is highly relevant to future woodland resilience.
Palynology (pollen analysis) has been the most widely used proxy for studying herbivory over long timescales but is an imperfect tool: using pollen to identify both grazing disturbance and its effects on plant communities adds potential circularity to causal arguments, and pollen cannot be used to infer which animals were present. Dung fungi can be used as an additional proxy alongside pollen data to identify major shifts in herbivore abundance (Baker et al. 2013) and faecal biomarkers to discriminate between animal species (McClymont et al. 2023). Independent records of climate change can also be extracted from the biomarker signal, to set the observed trends into context with environmental changes. To date only a few studies have combined these proxies (Davies et al. 2022, Brown et al. 2022). Integrating these methods can address Scotland-specific and broader long-term ecological questions e.g., to examine the role of herbivores as 'ecosystem engineers' and how this altered through the Holocene.
The project aims to combine dung fungi, biomarkers and pollen into a palaeo-grazing toolkit to evaluate the role of large herbivores in Holocene vegetation transitions, with emphasis on woodlands. It will examine the following research questions:
- Sensitivity testing: How does the sensitivity of the grazing signal vary between proxies and site type (peat, lake) when applied to recent grazing regime change?
- Temporal interactions: How does the grazing signature and its palynological vegetation impact vary between sites and over time (e.g. between periods with contrasting large herbivore assemblages)?
- Impact agenda: How can palaeoecological data combined with contemporary management concerns develop more accessible evidence about long-term grazing ecology?",923CD6BD-7BE3-4E0F-857F-F4F3FB3C3016,Studentship,,,,NERC,,,,Active,social science/sociology
ICF: Indoor HABItability during the Transition to Net Zero Housing Hub: INHABIT,"To meet its legally-binding target of achieving net zero emissions of greenhouse gases (GHG) by 2050, the UK must eliminate GHG emissions from homes. This enormous task involves retrofitting—the process of upgrading the energy efficiency—of the 29 million homes.

These retrofits will significantly change indoor environments, bringing health co-benefits by improving home warmth during the winter and providing protection against harmful outdoor air pollutants. However, if not done properly, these modifications can trap indoor air pollutants and moisture, deteriorating indoor air quality and causing issues such as damp/mould. These conditions can adversely affect health and wellbeing, particularly for the most vulnerable in society, such as older people and those with pre-existing conditions like asthma.

An opportunity and challenges

Retrofitting the UK's homes will require a substantial investment—estimated at &pound;250 billion by 2050. This offers an unprecedented opportunity to enhance environmental and socio-economic outcomes, including public health improvements and reduced inequalities.

However, our current lack of scientific knowledge and tools hampers our ability to fully capitalise on this potential. Specifically, we lack understanding of how retrofitting impacts the indoor environment and health in real-world scenarios and we do not have comprehensive tools to assess both positive and negative health impacts of retrofit options. Furthermore, our insights into the complex interactions among the indoor environment, health, inequalities, behaviours, and regulatory and financial frameworks are limited.

The INHABIT Hub has been specifically established to tackle these complex challenges.",0168A7A9-3B96-4E0B-BDE4-EDEC9B56A9EF,Research and Innovation,,,,MRC,,,,Active,social science/sociology
"Managing at Home in Times of Crisis: How Climate, COVID-19 and Cost of Living Crises Intersect in Everyday Life and What We Can Do About It","In recent years, households in the UK have been rocked by external shocks to our already delicate social system: the cost of living crisis, the climate crisis and COVID-19. These shocks have directly shaped the everyday lives of households: creating financial hardship, ill health and social isolation. They have also exposed our housing infrastructure as inadequate to withstand high temperatures, to reduce disease spread, to provide good indoor air quality, and to shelter people against the heat and cold in the context of high energy prices. People spend a substantial amount of their time in the home environment: up to 2/3 of their life, and as such its effect on health and wellbeing is critical.
We find that the ways in which households respond to these crises can have unintended or contradictory consequences for their environment and/or their health. For example, some strategies to mitigate high energy costs can create poor indoor environments with long lasting health effects. Despite the focus on outdoor air quality, it is increasingly clear that indoor air pollution has been largely ignored until recently. Indoor air quality includes damp and mould both of which are significant issues in less affluent and underheated homes.
This PhD project takes an interdisciplinary whole systems approach to addressing these problems, drawing on the combined expertise of the supervisory team, and supporting the student to think across disciplinary boundaries. The home and everyday life is at the centre of the project, and we expect the candidate to use this as a space in which to explore how these intersecting crises are managed and experienced. The empirical focus will be on diverse range of low-income households in the UK, with an emphasis on understanding the engineering design of homes, how people manage their home environment in different ways, and what knock-on effects technologies, practices and regulations have on their health and wellbeing. 
We will encourage the candidate to identify exacerbating effects (e.g. mould growth as a result of lack of ventilation due to attempts to keep warm) and virtuous circles (e.g. access to cool temperatures in hot weather and their impact on health). They will develop an understanding of the outcomes of different kinds of household management, and the socio-demographic patterns with which these occur. For instance, we know that practices associated with cooking have an impact on internal air quality, and that different households cook very differently, according to lifestage, ethnicity and other factors. Alongside these social aspects, the project will look at the physical environment characteristics including the building design, heating and ventilation systems and how this affects both energy use and indoor air quality parameters. 
We expect to draw on a range of primary and secondary data in this study. This will include data on building types, construction and engineering systems; indoor air quality over time in specific buildings; external air quality in the urban domain under study; qualitative data on lived experience of Fuel Poverty; and quantitative demographic data on specific neighbourhoods (available through the census, and index of multiple deprivation). 
As an impact-driven outcome to the project, we will expect the candidate to draft policy recommendations for guidance on effectively managing a range of home environments for health and wellbeing. We also can offer the opportunity to work more closely with a range of stakeholders interested in the outcomes of the project throughout, including Leeds City Council, housing associations and UKHSA. Finally, our international partners at the Danish Building Research Institute, Aalborg University, which includes a leading group of interdisciplinary academics working on buildings and resident practices, are keen to host an institutional visit for the candidate.",B69D7EAF-3C54-40CC-8713-0B4E9C484264,Studentship,,,,EPSRC,,,,Active,housing/damp/mould; policy/governance
